secid,date,days,volatility,ticker,index_flag
101310,10/26/2020,152,0.359234,AMZN,0
101310,10/26/2020,182,0.361734,AMZN,0
101310,10/26/2020,273,0.4091,AMZN,0
101310,10/26/2020,365,0.364478,AMZN,0
101310,10/26/2020,547,0.323179,AMZN,0
101310,10/26/2020,730,0.342826,AMZN,0
101310,10/26/2020,1825,0.3006,AMZN,0
101310,10/27/2020,10,0.224251,AMZN,0
101310,10/27/2020,14,0.23584,AMZN,0
101310,10/27/2020,30,0.341374,AMZN,0
101310,10/27/2020,60,0.396195,AMZN,0
101310,10/27/2020,91,0.357169,AMZN,0
101310,10/27/2020,122,0.38572,AMZN,0
101310,10/27/2020,152,0.36064,AMZN,0
101310,10/27/2020,182,0.360734,AMZN,0
101310,10/27/2020,273,0.409667,AMZN,0
101310,10/27/2020,365,0.365087,AMZN,0
101310,10/27/2020,547,0.323667,AMZN,0
101310,10/27/2020,730,0.342875,AMZN,0
101310,10/27/2020,1825,0.300714,AMZN,0
101310,10/28/2020,10,0.301336,AMZN,0
101310,10/28/2020,14,0.277121,AMZN,0
101310,10/28/2020,30,0.358473,AMZN,0
101310,10/28/2020,60,0.401957,AMZN,0
101310,10/28/2020,91,0.365196,AMZN,0
101310,10/28/2020,122,0.389711,AMZN,0
101310,10/28/2020,152,0.365521,AMZN,0
101310,10/28/2020,182,0.363938,AMZN,0
101310,10/28/2020,273,0.412423,AMZN,0
101310,10/28/2020,365,0.367207,AMZN,0
101310,10/28/2020,547,0.325226,AMZN,0
101310,10/28/2020,730,0.340761,AMZN,0
101310,10/28/2020,1825,0.301236,AMZN,0
101310,10/29/2020,10,0.299302,AMZN,0
101310,10/29/2020,14,0.296667,AMZN,0
101310,10/29/2020,30,0.360554,AMZN,0
101310,10/29/2020,60,0.399237,AMZN,0
101310,10/29/2020,91,0.366178,AMZN,0
101310,10/29/2020,122,0.390201,AMZN,0
101310,10/29/2020,152,0.364314,AMZN,0
101310,10/29/2020,182,0.360061,AMZN,0
101310,10/29/2020,273,0.412643,AMZN,0
101310,10/29/2020,365,0.367355,AMZN,0
101310,10/29/2020,547,0.325335,AMZN,0
101310,10/29/2020,730,0.340863,AMZN,0
101310,10/29/2020,1825,0.30118,AMZN,0
101310,10/30/2020,10,0.432509,AMZN,0
101310,10/30/2020,14,0.391351,AMZN,0
101310,10/30/2020,30,0.408803,AMZN,0
101310,10/30/2020,60,0.418503,AMZN,0
101310,10/30/2020,91,0.376049,AMZN,0
101310,10/30/2020,122,0.399868,AMZN,0
101310,10/30/2020,152,0.373476,AMZN,0
101310,10/30/2020,182,0.351042,AMZN,0
101310,10/30/2020,273,0.410545,AMZN,0
101310,10/30/2020,365,0.371937,AMZN,0
101310,10/30/2020,547,0.328633,AMZN,0
101310,10/30/2020,730,0.341995,AMZN,0
101310,10/30/2020,1825,0.302149,AMZN,0
101310,11/02/2020,10,0.494327,AMZN,0
101310,11/02/2020,14,0.385504,AMZN,0
101310,11/02/2020,30,0.398197,AMZN,0
101310,11/02/2020,60,0.41122,AMZN,0
101310,11/02/2020,91,0.375168,AMZN,0
101310,11/02/2020,122,0.396129,AMZN,0
101310,11/02/2020,152,0.377196,AMZN,0
101310,11/02/2020,182,0.35116,AMZN,0
101310,11/02/2020,273,0.410773,AMZN,0
101310,11/02/2020,365,0.372099,AMZN,0
101310,11/02/2020,547,0.327812,AMZN,0
101310,11/02/2020,730,0.34125,AMZN,0
101310,11/02/2020,1825,0.302238,AMZN,0
101310,11/03/2020,10,0.476014,AMZN,0
101310,11/03/2020,14,0.397588,AMZN,0
101310,11/03/2020,30,0.392539,AMZN,0
101310,11/03/2020,60,0.410426,AMZN,0
101310,11/03/2020,91,0.375926,AMZN,0
101310,11/03/2020,122,0.394527,AMZN,0
101310,11/03/2020,152,0.377436,AMZN,0
101310,11/03/2020,182,0.351593,AMZN,0
101310,11/03/2020,273,0.410352,AMZN,0
101310,11/03/2020,365,0.37227,AMZN,0
101310,11/03/2020,547,0.32794,AMZN,0
101310,11/03/2020,730,0.34104,AMZN,0
101310,11/03/2020,1825,0.302144,AMZN,0
101310,11/04/2020,10,0.584609,AMZN,0
101310,11/04/2020,14,0.517471,AMZN,0
101310,11/04/2020,30,0.439125,AMZN,0
101310,11/04/2020,60,0.433948,AMZN,0
101310,11/04/2020,91,0.393268,AMZN,0
101310,11/04/2020,122,0.4056,AMZN,0
101310,11/04/2020,152,0.388219,AMZN,0
101310,11/04/2020,182,0.36095,AMZN,0
101310,11/04/2020,273,0.415898,AMZN,0
101310,11/04/2020,365,0.376932,AMZN,0
101310,11/04/2020,547,0.331308,AMZN,0
101310,11/04/2020,730,0.343254,AMZN,0
101310,11/04/2020,1825,0.303333,AMZN,0
101310,11/05/2020,10,0.598829,AMZN,0
101310,11/05/2020,14,0.528962,AMZN,0
101310,11/05/2020,30,0.430906,AMZN,0
101310,11/05/2020,60,0.43301,AMZN,0
101310,11/05/2020,91,0.396089,AMZN,0
101310,11/05/2020,122,0.396587,AMZN,0
101310,11/05/2020,152,0.387872,AMZN,0
101310,11/05/2020,182,0.362241,AMZN,0
101310,11/05/2020,273,0.416673,AMZN,0
101310,11/05/2020,365,0.377548,AMZN,0
101310,11/05/2020,547,0.331841,AMZN,0
101310,11/05/2020,730,0.343605,AMZN,0
101310,11/05/2020,1825,0.303393,AMZN,0
101310,11/06/2020,10,0.585504,AMZN,0
101310,11/06/2020,14,0.529657,AMZN,0
101310,11/06/2020,30,0.420266,AMZN,0
101310,11/06/2020,60,0.428022,AMZN,0
101310,11/06/2020,91,0.394414,AMZN,0
101310,11/06/2020,122,0.395197,AMZN,0
101310,11/06/2020,152,0.386161,AMZN,0
101310,11/06/2020,182,0.362319,AMZN,0
101310,11/06/2020,273,0.416511,AMZN,0
101310,11/06/2020,365,0.377531,AMZN,0
101310,11/06/2020,547,0.331745,AMZN,0
101310,11/06/2020,730,0.340519,AMZN,0
101310,11/06/2020,1825,0.303279,AMZN,0
101310,11/09/2020,10,0.602122,AMZN,0
101310,11/09/2020,14,0.598321,AMZN,0
101310,11/09/2020,30,0.455926,AMZN,0
101310,11/09/2020,60,0.427441,AMZN,0
101310,11/09/2020,91,0.407837,AMZN,0
101310,11/09/2020,122,0.403671,AMZN,0
101310,11/09/2020,152,0.395035,AMZN,0
101310,11/09/2020,182,0.370101,AMZN,0
101310,11/09/2020,273,0.420296,AMZN,0
101310,11/09/2020,365,0.381413,AMZN,0
101310,11/09/2020,547,0.334549,AMZN,0
101310,11/09/2020,730,0.342451,AMZN,0
101310,11/09/2020,1825,0.304308,AMZN,0
101310,11/10/2020,10,0.602195,AMZN,0
101310,11/10/2020,14,0.599468,AMZN,0
101310,11/10/2020,30,0.458806,AMZN,0
101310,11/10/2020,60,0.433679,AMZN,0
101310,11/10/2020,91,0.411574,AMZN,0
101310,11/10/2020,122,0.405733,AMZN,0
101310,11/10/2020,152,0.395214,AMZN,0
101310,11/10/2020,182,0.372299,AMZN,0
101310,11/10/2020,273,0.42242,AMZN,0
101310,11/10/2020,365,0.383112,AMZN,0
101310,11/10/2020,547,0.33447,AMZN,0
101310,11/10/2020,730,0.343079,AMZN,0
101310,11/10/2020,1825,0.304692,AMZN,0
101310,11/11/2020,10,0.587885,AMZN,0
101310,11/11/2020,14,0.605473,AMZN,0
101310,11/11/2020,30,0.443354,AMZN,0
101310,11/11/2020,60,0.436228,AMZN,0
101310,11/11/2020,91,0.41361,AMZN,0
101310,11/11/2020,122,0.407446,AMZN,0
101310,11/11/2020,152,0.39805,AMZN,0
101310,11/11/2020,182,0.374866,AMZN,0
101310,11/11/2020,273,0.423953,AMZN,0
101310,11/11/2020,365,0.384365,AMZN,0
101310,11/11/2020,547,0.33541,AMZN,0
